lnths	lnemp	mico	mppa	mgfa	s	t
9.900683	15.26483	1	0	0	10	6
10.1777	15.29094	1	1	0	10	7
10.37068	15.31321	1	1	0	10	8
10.49557	15.33778	1	0	0	10	9
10.76585	15.3632	1	0	0	10	10
10.94026	15.38774	1	0	0	10	11
11.0037	15.40113	1	0	0	10	12
10.98372	15.38799	1	0	0	10	13
11.14439	15.39402	1	0	0	10	14
11.36209	15.40847	1	0	0	10	15
11.55909	15.44003	1	0	0	10	16
11.63338	15.4682	1	0	0	10	17
8.849371	14.62033	0	1	0	11	1
8.462103	14.5714	0	1	0	11	2
8.545587	14.56428	0	1	0	11	3
8.548498	14.52256	0	1	0	11	4
8.290042	14.5233	0	1	0	11	5
9.030496	14.56801	0	1	0	11	6
9.276128	14.58959	0	1	0	11	7
9.421087	14.61383	0	1	0	11	8
9.70235	14.65055	1	1	0	11	9
10.1843	14.68914	1	1	0	11	10
10.10887	14.72349	1	1	0	11	11
9.957644	14.74052	1	1	0	11	12
10.00807	14.73472	1	1	0	11	13
10.18535	14.75325	1	1	0	11	14
10.56181	14.78131	1	1	0	11	15
10.62903	14.81345	1	1	0	11	16
10.72911	14.8403	1	1	0	11	17
10.16566	15.40066	1	1	0	12	1
10.06407	15.39455	1	1	0	12	2
9.829895	15.36992	1	1	0	12	3
9.799515	15.34011	1	1	0	12	4
9.919459	15.32636	1	1	0	12	5
10.17839	15.35716	1	1	0	12	6
10.39608	15.37477	1	1	0	12	7
10.42984	15.38219	1	1	0	12	8
10.469	15.4105	1	1	0	12	9
10.90292	15.44426	1	1	0	12	10
10.93414	15.46684	1	1	0	12	11
11.11364	15.48101	1	1	0	12	12
11.13492	15.47021	1	1	0	12	13
11.26389	15.47086	1	1	0	12	14
11.51136	15.48896	1	1	0	12	15
11.7602	15.51349	1	1	0	12	16
11.8098	15.53704	1	1	0	12	17
9.589804	15.1067	0	1	0	13	1
9.769957	15.0518	1	1	0	13	2
9.161255	15.02876	1	1	0	13	3
9.211639	14.97657	1	1	0	13	4
9.319912	14.98585	1	1	0	13	5
9.972174	15.03368	1	1	0	13	6
10.5321	15.08569	1	1	0	13	7
10.5321	15.11224	1	1	0	13	8
10.51602	15.13347	1	1	0	13	9
10.69689	15.15555	1	1	0	13	10
10.6687	15.18219	1	1	0	13	11
10.62859	15.19418	1	1	0	13	12
10.59908	15.1742	1	1	0	13	13
10.82253	15.18349	1	1	0	13	14
11.17786	15.20325	1	1	0	13	15
11.434	15.23785	1	1	0	13	16
11.6453	15.26804	1	1	0	13	17
9.080345	14.48856	0	0	0	14	1
8.908424	14.47722	0	1	0	14	2
8.995785	14.4695	0	1	0	14	3
8.809265	14.43968	0	1	0	14	4
8.954415	14.44	0	1	0	14	5
9.290722	14.48293	0	1	0	14	6
9.485393	14.50017	1	1	0	14	7
9.670735	14.52054	1	1	0	14	8
9.772696	14.55248	1	1	0	14	9
10.04603	14.58955	1	1	0	14	10
10.07441	14.62038	1	1	0	14	11
10.05048	14.64472	1	1	0	14	12
10.01887	14.64929	1	1	0	14	13
10.14863	14.67328	1	1	0	14	14
10.299	14.69626	1	1	0	14	15
10.4441	14.72811	1	1	0	14	16
10.56615	14.75493	1	1	0	14	17
9.593015	14.38479	0	0	0	15	1
9.642512	14.3866	0	0	0	15	2
8.966612	14.38156	0	0	0	15	3
8.948456	14.35042	0	0	0	15	4
8.863333	14.3569	1	0	0	15	5
9.373564	14.41424	1	0	0	15	6
9.519074	14.43904	1	0	0	15	7
10.0265	14.45341	1	1	0	15	8
9.848081	14.48973	1	1	0	15	9
10.08063	14.52261	1	1	0	15	10
10.08389	14.55114	1	1	0	15	11
10.02087	14.57008	1	1	0	15	12
10.10078	14.57482	1	1	0	15	13
10.22684	14.59708	1	1	0	15	14
10.44191	14.62319	1	1	0	15	15
10.61991	14.65293	1	1	0	15	16
10.68339	14.68202	1	1	0	15	17
8.057378	13.93923	0	0	0	16	1
7.876638	13.91978	0	0	0	16	2
7.691657	13.9004	0	0	0	16	3
7.467371	13.85656	0	0	0	16	4
7.52564	13.85512	0	0	0	16	5
7.887584	13.88755	0	0	0	16	6
7.912057	13.88709	0	1	0	16	7
8.122372	13.88671	0	1	0	16	8
8.422882	13.91906	1	1	0	16	9
8.456168	13.96065	1	1	0	16	10
8.585412	13.99792	1	1	0	16	11
8.471149	14.01951	1	1	0	16	12
8.562549	14.02909	1	1	0	16	13
9.328213	14.04073	1	1	0	16	14
9.427224	14.06128	1	1	0	16	15
9.519221	14.09307	1	1	0	16	16
9.478916	14.1216	1	1	0	16	17
9.040975	14.51419	0	0	0	17	1
9.012743	14.49344	0	0	0	17	2
8.807323	14.48657	0	0	0	17	3
8.973478	14.46908	0	0	0	17	4
8.721439	14.47665	1	0	0	17	5
9.100526	14.52488	1	0	0	17	6
9.375686	14.55492	1	1	0	17	7
9.454227	14.57753	1	1	0	17	8
9.577965	14.60297	1	1	0	17	9
9.795791	14.63039	1	1	0	17	10
9.900182	14.65492	0	1	0	17	11
9.892629	14.6678	0	1	0	17	12
9.909022	14.65237	0	1	0	17	13
10.05552	14.66297	0	1	0	17	14
10.24292	14.68869	0	1	0	17	15
10.39044	14.71993	0	1	0	17	16
10.44062	14.74013	0	1	0	17	17
5.164786	12.40574	0	0	0	18	1
5.164786	12.40983	0	0	0	18	2
3.912023	12.42681	0	0	0	18	3
3.912023	12.42802	0	0	0	18	4
4.532599	12.43161	0	0	0	18	5
4.543295	12.43917	1	0	0	18	6
5.501258	12.43718	1	0	0	18	7
5.713733	12.42882	1	0	0	18	8
5.278115	12.44035	1	1	0	18	9
5.940171	12.45566	1	1	0	18	10
6.059123	12.46997	1	1	0	18	11
5.897154	12.49088	1	1	0	18	12
